Year,Fruits.acf,total.acf,aborted.acf,success.acf,predated.acf,Site,Mean.Fruits,CV.Fruits,m.total,m.aborted,m.sucessess,m.predated,total.cv,aborted.cv,success.cv,predated.cv,Prop.aborted,Prop.sucessess,Prop.predated
2011,0.1609708854998604,0.35290029584246774,0.31933210598161793,0.08266559168936366,0.2541046292662326,Haynes,15.626086956521739,1.1724920233619356,3.982608695652174,0.26956521739130435,2.026086956521739,1.6869565217391305,1.3720580731730423,1.8016385984276264,0.9474685069632801,1.226865901134853,0.06768558951965065,0.5087336244541484,0.42358078602620086
2012,-0.012976307787564194,0.006344983200383475,0.038233175197974895,-0.040107676584081785,-0.03741930771537647,Haynes,0.15517241379310345,2.0495909458395567,0.21551724137931033,0.11206896551724138,0.04310344827586207,0.0603448275862069,2.857408981394951,0.9230769230769231,1.9266551326067674,2.039074086258687,0.52,0.20000000000000004,0.28
2013,0.18161898691579936,0.22315382156555333,0.15746833104470098,0.16079048538222457,-0.027998225097958112,Haynes,0.14423076923076922,2.093173586059135,0.5769230769230769,0.4230769230769231,0.125,0.028846153846153848,2.803172805550483,0.6362090102803518,2.891773779728424,3.4287918800378874,0.7333333333333334,0.21666666666666667,0.05000000000000001
2014,0.007802871455675958,0.13779493070456428,0.13950551137777156,-0.01792203441099033,0.11191750462073408,Haynes,5.0606060606060606,1.131096184008285,2.01010101010101,0.41414141414141414,0.98989898989899,0.6060606060606061,1.5234368250036652,1.3173672493687314,0.9962785378122526,1.7331544332244846,0.20603015075376885,0.492462311557789,0.30150753768844224
2015,0.010742165812633691,-0.04434756830493699,0.05014978558819687,-0.004382550404943985,-0.047256282298030604,Haynes,0.26881720430107525,1.6474626955817036,0.22580645161290322,0.11827956989247312,0.0967741935483871,0.010752688172043012,4.75938339045305,0.9620913858416694,1.5369254756478836,2.449489742783178,0.5238095238095238,0.42857142857142855,0.04761904761904762
2016,0.08288568603430911,0.0759351971198647,0.13158134722066614,0.056827714203918855,-0.054422866456605,Haynes,2.6202531645569622,1.139741348454388,1.4050632911392404,0.12658227848101267,0.46835443037974683,0.810126582278481,1.9324357978174842,1.5968719422671314,1.0562584091591318,0.9134799009906507,0.0900900900900901,0.33333333333333337,0.5765765765765766
2017,0.07382093634218839,0.21319108046440427,0.01444009554413793,0.021988781746879862,0.08549173573998811,Haynes,14.24731182795699,1.31358867273557,3.7311827956989245,0.7526881720430108,2.4516129032258065,0.5268817204301075,1.4680339376161131,1.332760293526184,1.063355311173245,2.01038968030247,0.2017291066282421,0.6570605187319886,0.14121037463976946
2018,0.21896970106255964,0.22707974048338042,0.05599361476702646,0.23479554449289602,0.021138032311960445,Haynes,29.257731958762886,1.0242191272074925,5.525773195876289,0.4639175257731959,3.948453608247423,1.1134020618556701,1.5021369034461816,1.4794880334511924,1.0210975059273995,3.466233451050102,0.08395522388059702,0.7145522388059702,0.20149253731343283
2019,0.22593299517150367,0.2841701657212381,0.15948373983578146,0.23698656517773087,0.3011142966006297,Haynes,8.119565217391305,1.2851335078683988,2.782608695652174,0.5978260869565217,1.5108695652173914,0.6739130434782609,1.3518435976981076,1.6579288045390952,0.9931573299945794,1.9724697198743886,0.21484375,0.54296875,0.2421875
2020,0.32776726260624706,0.3546181794752097,0.04929380208746159,0.33315569024563335,0.07343092692702537,Haynes,14.276315789473685,1.080739793045507,4.342105263157895,1.5526315789473684,2.513157894736842,0.27631578947368424,1.2402497847689908,1.7120264258353668,0.8836986347279084,2.1360226715166784,0.35757575757575755,0.5787878787878787,0.06363636363636364
1988,NA,NA,NA,NA,NA,McDevitt,6.095238095238095,1.506714258287004,3.238095238095238,1.4444444444444444,1.3015873015873016,0.49206349206349204,1.2681239939825666,1.2482423338610937,1.2784984099446497,1.6873644069274731,0.446078431372549,0.4019607843137255,0.15196078431372548
1989,0.20136039649309825,0.3435448235436462,0.23801759632239772,0.14064011199097465,0.3307548194358185,McDevitt,3.3055555555555554,1.937233010489463,3.3472222222222223,1.4583333333333333,0.9166666666666666,0.9722222222222222,1.483354447940892,1.2066063695343943,1.8610389106899916,1.2576490941141503,0.4356846473029045,0.2738589211618257,0.2904564315352697
1990,-0.027860535170963336,0.2068888698862776,0.1736033781708738,-0.11422017339965262,NA,McDevitt,0.4533333333333333,1.6814589449955561,0.5466666666666666,0.4,0.14666666666666667,0,2.761042926101813,0.9105442927671937,1.0867690035224964,NA,0.7317073170731708,0.2682926829268293,0
1991,0.39115294938408196,0.26762132827464136,0.22462627607407498,0.37333547103417564,NA,McDevitt,5.380281690140845,1.5763483227290425,1.6338028169014085,0.23943661971830985,0.8591549295774648,0.5352112676056338,1.6300530014382588,2.122084810896274,1.4822926887619783,1.0881547126536555,0.14655172413793102,0.5258620689655172,0.3275862068965517
1992,-0.030005967575829892,-0.07524760589967046,-0.04314076122238455,-0.060532071949521725,-0.17492926822351618,McDevitt,0.36619718309859156,1.8427570560709485,0.43661971830985913,0.22535211267605634,0.11267605633802817,0.09859154929577464,1.8859640540742004,0.9363964092701966,1.5857824196127734,1.562618542922192,0.5161290322580646,0.2580645161290323,0.22580645161290322
1993,0.05024155839110377,0.35668164781421163,-0.04873516662442223,0.09059748583032426,0.2509991082326977,McDevitt,14.780821917808218,0.7868902127327193,2.3013698630136985,0.1643835616438356,2.1095890410958904,0.0273972602739726,1.2806068024334791,1.9302058036500784,0.654345866177893,4.2410035499998235,0.07142857142857142,0.9166666666666667,0.011904761904761904
1994,NA,0.18166803717040297,-0.0630330723878686,NA,-0.03287402856946445,McDevitt,0,NA,0.09090909090909091,0.025974025974025976,0,0.06493506493506493,4.436689140148965,1.3693063937629153,NA,1.224744871391589,0.2857142857142857,0,0.7142857142857142
1995,NA,0.19948587320586414,-0.061068107506091075,NA,NA,McDevitt,9.67032967032967,0.9817047555297135,1.8461538461538463,0.21978021978021978,1.6263736263736264,0,1.6993780634306008,1.8071928358495515,0.7732472299983851,NA,0.11904761904761904,0.8809523809523809,0
1996,-0.005821938841573688,0.13505899971889387,0.06474586587167974,0.11143288971879868,NA,McDevitt,0.1511627906976744,2.801732346604835,0.3372093023255814,0.2441860465116279,0.03488372093023256,0.05813953488372093,3.1387534307829297,0.920908552657796,2.3711225658371653,2.6698314553544384,0.7241379310344828,0.10344827586206896,0.1724137931034483
1997,-0.03377544519701385,0.051432679976673654,0.29506632430133756,-0.03377752926484029,NA,McDevitt,0.25333333333333335,1.3466555131505604,0.06666666666666667,0.013333333333333334,0.05333333333333334,0,4.502251688907477,2,0.816496580927726,NA,0.2,0.8,0
1998,0.09527083187631534,0.3942807531754345,0.35660864694345973,0.07247760111677748,NA,McDevitt,2.3655913978494625,1.4283571615131463,0.7849462365591398,0.1827956989247312,0.5376344086021505,0.06451612903225806,3.0103743374325185,1.4285336274839424,1.2488750493499696,2.372684056006958,0.23287671232876714,0.684931506849315,0.0821917808219178
1999,-0.039072620009391386,0.0542189113551867,-0.03648999929233031,-0.04057374321840492,NA,McDevitt,0.009345794392523364,1.7320508075688774,0.028037383177570093,0.018691588785046728,0.009345794392523364,0,5.915548215662169,0.8660254037844388,1.7320508075688774,NA,0.6666666666666666,0.3333333333333333,0
2000,0.22172054658700985,0.03978953415905784,-0.054521898680547465,0.20013875031327713,NA,McDevitt,2.5904761904761906,1.1875550129914823,0.8857142857142857,0.24761904761904763,0.4857142857142857,0.1523809523809524,2.3812550073920553,1.1272890053352478,0.9726868069015411,1.758905909933786,0.2795698924731183,0.5483870967741936,0.17204301075268819
2001,0.7188376194895272,0.73049944270318945,0.5449508775247475,0.7140808794406213,NA,McDevitt,2.0642201834862384,0.9089178660598538,0.908256880733945,0.44954128440366975,0.45871559633027525,0,2.1843190520859874,1.014865901213312,0.7359800721939872,NA,0.494949494949495,0.5050505050505051,0
2002,0.3663037040924767,0.5592834757446077,0.23313488054358372,0.3570034630813129,NA,McDevitt,0.6846846846846847,1.3986462664480437,0.36036036036036034,0.11711711711711711,0.14414414414414414,0.0990990990990991,3.1924627142408646,1.3664155621161753,1.181792966379736,1.512398431175377,0.325,0.4,0.275
2003,-0.03635448164911699,0.10461504083289852,0.13187528626996223,-0.036357676159078874,-0.03322020216006197,McDevitt,0.26717557251908397,4.903088017652103,1.0534351145038168,0.0916030534351145,0.06870229007633588,0.8931297709923665,1.6114597563482504,2.9246156852342278,5.688858251551488,0.8060531105590242,0.08695652173913043,0.06521739130434782,0.8478260869565218
2004,NA,0.09205392217653056,-0.03627881715732096,NA,0.11609387831680704,McDevitt,0,NA,0.9785714285714285,0.05714285714285714,0,0.9214285714285714,2.327278399412091,4.3717520411261805,NA,1.1465684367730433,0.058394160583941604,0,0.9416058394160584
2005,NA,0.2699646512261689,0.49001707754771306,NA,0.18455230157508487,McDevitt,0.47435897435897434,1.5377642123638076,0.1858974358974359,0.038461538461538464,0.10256410256410256,0.04487179487179487,4.355387347759543,1.405456737852613,1.1652521186421416,1.3552618543578772,0.20689655172413793,0.5517241379310345,0.24137931034482757
2006,0.20472729813025067,0.29616044387578166,0.20258205327232545,0.25285188813617177,0.14735635682753465,McDevitt,7.294478527607362,1.3514656243371193,2.687116564417178,0.558282208588957,1.7361963190184049,0.39263803680981596,1.3472102431132438,1.6323870339293314,1.0810058492114272,1.8681167983668567,0.20776255707762556,0.6461187214611872,0.1461187214611872
2007,0.24459008954176673,0.35581391706618865,0.08636377405591594,0.24763998757703382,0.12745382946916245,McDevitt,20.201183431952664,1.1898444738172496,7,2.06508875739645,4.597633136094674,0.33727810650887574,1.1901360058170156,1.2631407439403348,1.1398021253350632,2.5784820711671466,0.29501267962806427,0.6568047337278106,0.04818258664412511
