"","model","scenario","year","tmean_annual"
"214","MPI-ESM1-2-LR","ssp585",2048,9.94933809573263
"215","MPI-ESM1-2-LR","ssp585",2049,11.4458822061186
"216","MPI-ESM1-2-LR","ssp585",2050,10.3108705607192
"217","MPI-ESM1-2-LR","ssp585",2051,10.533818057577
"218","MPI-ESM1-2-LR","ssp585",2052,12.3016192620078
"219","MPI-ESM1-2-LR","ssp585",2053,11.0089353742504
"220","MPI-ESM1-2-LR","ssp585",2054,10.8482991444182
"221","MPI-ESM1-2-LR","ssp585",2055,11.5363639851139
"222","MPI-ESM1-2-LR","ssp585",2056,12.0444288578273
"223","MPI-ESM1-2-LR","ssp585",2057,10.8484048293375
"224","MPI-ESM1-2-LR","ssp585",2058,13.4750508357551
"225","MPI-ESM1-2-LR","ssp585",2059,11.1021490500318
"226","MPI-ESM1-2-LR","ssp585",2060,11.8426229962136
"227","MPI-ESM1-2-LR","ssp585",2061,10.9425442632885
"228","MPI-ESM1-2-LR","ssp585",2062,11.0632492131508
"229","MPI-ESM1-2-LR","ssp585",2063,11.90034339877
"230","MPI-ESM1-2-LR","ssp585",2064,10.9857768277302
"231","MPI-ESM1-2-LR","ssp585",2065,11.1557122007079
"232","MPI-ESM1-2-LR","ssp585",2066,11.6013580029879
"233","MPI-ESM1-2-LR","ssp585",2067,12.1224884029164
"234","MPI-ESM1-2-LR","ssp585",2068,12.5282566874837
"235","MPI-ESM1-2-LR","ssp585",2069,13.4153833816189
"236","MPI-ESM1-2-LR","ssp585",2070,12.6189212339665
"237","MPI-ESM1-2-LR","ssp585",2071,14.6450133086825
"238","MPI-ESM1-2-LR","ssp585",2072,13.5112339389171
"239","MPI-ESM1-2-LR","ssp585",2073,14.7521472449442
"240","MPI-ESM1-2-LR","ssp585",2074,12.6501664328998
"241","MRI-ESM2-0","ssp245",2045,11.5141986317036
"242","MRI-ESM2-0","ssp245",2046,11.985790845879
"243","MRI-ESM2-0","ssp245",2047,10.0957596950549
"244","MRI-ESM2-0","ssp245",2048,9.67043198553698
"245","MRI-ESM2-0","ssp245",2049,12.3437288489464
"246","MRI-ESM2-0","ssp245",2050,11.555194597068
"247","MRI-ESM2-0","ssp245",2051,11.1559257900779
"248","MRI-ESM2-0","ssp245",2052,11.6736797866453
"249","MRI-ESM2-0","ssp245",2053,11.2920339734364
"250","MRI-ESM2-0","ssp245",2054,11.0163977392869
"251","MRI-ESM2-0","ssp245",2055,11.8856650233446
"252","MRI-ESM2-0","ssp245",2056,13.0377685210794
"253","MRI-ESM2-0","ssp245",2057,11.6125847872334
"254","MRI-ESM2-0","ssp245",2058,12.6409787111004
"255","MRI-ESM2-0","ssp245",2059,10.6855516728691
"256","MRI-ESM2-0","ssp245",2060,10.9330796836507
"257","MRI-ESM2-0","ssp245",2061,11.6078104367713
"258","MRI-ESM2-0","ssp245",2062,11.7610497511629
"259","MRI-ESM2-0","ssp245",2063,12.8213659661833
"260","MRI-ESM2-0","ssp245",2064,12.1872494235042
"261","MRI-ESM2-0","ssp245",2065,10.436646191607
"262","MRI-ESM2-0","ssp245",2066,11.5346180199621
"263","MRI-ESM2-0","ssp245",2067,11.9012785835859
"264","MRI-ESM2-0","ssp245",2068,11.8777175305678
"265","MRI-ESM2-0","ssp245",2069,12.1962850216478
"266","MRI-ESM2-0","ssp245",2070,13.1236810073169
"267","MRI-ESM2-0","ssp245",2071,11.6467227139615
"268","MRI-ESM2-0","ssp245",2072,11.8390137720413
"269","MRI-ESM2-0","ssp245",2073,10.9712870974355
"270","MRI-ESM2-0","ssp245",2074,11.8627336021821
"271","MRI-ESM2-0","ssp585",2045,11.2313825322428
"272","MRI-ESM2-0","ssp585",2046,11.3267340314954
"273","MRI-ESM2-0","ssp585",2047,10.5393564553883
"274","MRI-ESM2-0","ssp585",2048,12.1769203845778
"275","MRI-ESM2-0","ssp585",2049,12.4134742707991
"276","MRI-ESM2-0","ssp585",2050,11.0992927212037
"277","MRI-ESM2-0","ssp585",2051,13.3452431135884
"278","MRI-ESM2-0","ssp585",2052,11.2111069451507
"279","MRI-ESM2-0","ssp585",2053,11.289493081741
"280","MRI-ESM2-0","ssp585",2054,11.4268175752563
"281","MRI-ESM2-0","ssp585",2055,12.128953539752
"282","MRI-ESM2-0","ssp585",2056,11.9038873842982
"283","MRI-ESM2-0","ssp585",2057,12.1918039758685
"284","MRI-ESM2-0","ssp585",2058,12.1575570726463
"285","MRI-ESM2-0","ssp585",2059,12.2490474120618
"286","MRI-ESM2-0","ssp585",2060,11.0490586005799
"287","MRI-ESM2-0","ssp585",2061,12.3903253563501
"288","MRI-ESM2-0","ssp585",2062,12.3999043069886
"289","MRI-ESM2-0","ssp585",2063,12.5908633077632
"290","MRI-ESM2-0","ssp585",2064,12.6891321743514
"291","MRI-ESM2-0","ssp585",2065,12.6014118060185
"292","MRI-ESM2-0","ssp585",2066,12.9164777303845
"293","MRI-ESM2-0","ssp585",2067,12.0933143460844
"294","MRI-ESM2-0","ssp585",2068,11.6786806975874
"295","MRI-ESM2-0","ssp585",2069,13.7336438457053
"296","MRI-ESM2-0","ssp585",2070,12.4727058165953
"297","MRI-ESM2-0","ssp585",2071,12.3259876594254
"298","MRI-ESM2-0","ssp585",2072,13.6702716327442
"299","MRI-ESM2-0","ssp585",2073,13.2253026524569
"300","MRI-ESM2-0","ssp585",2074,12.538444288161
