"","Year","n_months","value","Season","Variable","start_year","period_start"
"215",1983,3,255.416041469652,"Summer","ppt_mm",1940,1980
"216",1984,3,203.428137066816,"Summer","ppt_mm",1940,1980
"217",1985,3,177.770924193245,"Summer","ppt_mm",1940,1985
"218",1986,3,224.690986491449,"Summer","ppt_mm",1940,1985
"219",1987,3,186.123054984264,"Summer","ppt_mm",1940,1985
"220",1988,3,198.198176174096,"Summer","ppt_mm",1940,1985
"221",1989,3,151.747534423497,"Summer","ppt_mm",1940,1985
"222",1990,3,178.445676473745,"Summer","ppt_mm",1940,1990
"223",1991,3,163.596666532291,"Summer","ppt_mm",1940,1990
"224",1992,3,320.058686287784,"Summer","ppt_mm",1940,1990
"225",1993,3,325.432751648987,"Summer","ppt_mm",1940,1990
"226",1994,3,252.791678944905,"Summer","ppt_mm",1940,1990
"227",1995,3,186.311946721785,"Summer","ppt_mm",1940,1995
"228",1996,3,193.652574229642,"Summer","ppt_mm",1940,1995
"229",1997,3,222.790536990178,"Summer","ppt_mm",1940,1995
"230",1998,3,274.477815332748,"Summer","ppt_mm",1940,1995
"231",1999,3,223.007568096766,"Summer","ppt_mm",1940,1995
"232",2000,3,143.079433835119,"Summer","ppt_mm",1940,2000
"233",2001,3,187.297826134965,"Summer","ppt_mm",1940,2000
"234",2002,3,152.288057204931,"Summer","ppt_mm",1940,2000
"235",2003,3,188.757971597502,"Summer","ppt_mm",1940,2000
"236",2004,3,233.335683651513,"Summer","ppt_mm",1940,2000
"237",2005,3,290.49997406201,"Summer","ppt_mm",1940,2005
"238",2006,3,184.514370440251,"Summer","ppt_mm",1940,2005
"239",2007,3,224.922779675112,"Summer","ppt_mm",1940,2005
"240",2008,3,267.068426017245,"Summer","ppt_mm",1940,2005
"241",2009,3,337.4052515813,"Summer","ppt_mm",1940,2005
"242",2010,3,381.569012671699,"Summer","ppt_mm",1940,2010
"243",2011,3,326.117463897861,"Summer","ppt_mm",1940,2010
"244",2012,3,78.2691246806226,"Summer","ppt_mm",1940,2010
"245",2013,3,225.731682437014,"Summer","ppt_mm",1940,2010
"246",2014,3,341.989894225449,"Summer","ppt_mm",1940,2010
"247",2015,3,253.288134140635,"Summer","ppt_mm",1940,2015
"248",2016,3,227.627530798649,"Summer","ppt_mm",1940,2015
