"","model","year","tmean_annual"
"197","MPI-ESM1-2-LR",1951,8.80091030194909
"198","MPI-ESM1-2-LR",1952,8.50053772443783
"199","MPI-ESM1-2-LR",1953,7.44484014152646
"200","MPI-ESM1-2-LR",1954,8.63059916238263
"201","MPI-ESM1-2-LR",1955,8.4873032046369
"202","MPI-ESM1-2-LR",1956,9.21214470892889
"203","MPI-ESM1-2-LR",1957,8.42092269872253
"204","MPI-ESM1-2-LR",1958,10.2212924774498
"205","MPI-ESM1-2-LR",1959,8.66211395610322
"206","MPI-ESM1-2-LR",1960,8.67843191374538
"207","MPI-ESM1-2-LR",1961,7.97836654833261
"208","MPI-ESM1-2-LR",1962,7.9841914512165
"209","MPI-ESM1-2-LR",1963,8.74770462472594
"210","MPI-ESM1-2-LR",1964,8.61583877115988
"211","MPI-ESM1-2-LR",1965,8.78840898437376
"212","MPI-ESM1-2-LR",1966,7.8270233417434
"213","MPI-ESM1-2-LR",1967,8.25869808157632
"214","MPI-ESM1-2-LR",1968,9.84965037220229
"215","MPI-ESM1-2-LR",1969,7.71470155113252
"216","MPI-ESM1-2-LR",1970,6.8231211569722
"217","MPI-ESM1-2-LR",1971,8.55740677511728
"218","MPI-ESM1-2-LR",1972,7.461545792792
"219","MPI-ESM1-2-LR",1973,8.55549035889709
"220","MPI-ESM1-2-LR",1974,8.06687765290847
"221","MPI-ESM1-2-LR",1975,8.75309025127503
"222","MPI-ESM1-2-LR",1976,8.97586362319564
"223","MPI-ESM1-2-LR",1977,9.14982189696865
"224","MPI-ESM1-2-LR",1978,10.0138270342267
"225","MPI-ESM1-2-LR",1979,8.1762448360092
"226","MPI-ESM1-2-LR",1980,9.00915647078922
"227","MPI-ESM1-2-LR",1981,9.22890687160187
"228","MPI-ESM1-2-LR",1982,10.5142596352352
"229","MPI-ESM1-2-LR",1983,8.25522997067127
"230","MPI-ESM1-2-LR",1984,8.9087412918072
"231","MPI-ESM1-2-LR",1985,10.5470354298431
"232","MPI-ESM1-2-LR",1986,8.67736124356196
"233","MPI-ESM1-2-LR",1987,9.40671355567754
"234","MPI-ESM1-2-LR",1988,8.3918642730272
"235","MPI-ESM1-2-LR",1989,10.653002424055
"236","MPI-ESM1-2-LR",1990,8.85013937117002
"237","MPI-ESM1-2-LR",1991,8.3385964588605
"238","MPI-ESM1-2-LR",1992,8.81883575348066
"239","MPI-ESM1-2-LR",1993,8.75838077077195
"240","MPI-ESM1-2-LR",1994,10.1858823862119
"241","MPI-ESM1-2-LR",1995,8.94577026390825
"242","MPI-ESM1-2-LR",1996,9.91571307727889
"243","MPI-ESM1-2-LR",1997,8.15697635932682
"244","MPI-ESM1-2-LR",1998,8.21504701600989
"245","MPI-ESM1-2-LR",1999,9.57754898607019
"246","MPI-ESM1-2-LR",2000,8.19377861416869
"247","MPI-ESM1-2-LR",2001,9.19998293801412
"248","MPI-ESM1-2-LR",2002,9.27134524199257
"249","MPI-ESM1-2-LR",2003,8.48420427717095
"250","MPI-ESM1-2-LR",2004,10.0020561571212
"251","MPI-ESM1-2-LR",2005,9.98745666347918
"252","MPI-ESM1-2-LR",2006,11.0765645097672
"253","MPI-ESM1-2-LR",2007,9.40214277903242
"254","MPI-ESM1-2-LR",2008,9.74500554717806
"255","MPI-ESM1-2-LR",2009,8.81275403331205
"256","MPI-ESM1-2-LR",2010,8.99966382747938
"257","MPI-ESM1-2-LR",2011,10.1903616601502
"258","MPI-ESM1-2-LR",2012,9.07504001508714
"259","MPI-ESM1-2-LR",2013,8.46752293770693
"260","MPI-ESM1-2-LR",2014,9.74860951511491
"261","MRI-ESM2-0",1950,8.41014409433562
"262","MRI-ESM2-0",1951,9.48536027540409
"263","MRI-ESM2-0",1952,8.74981796031452
"264","MRI-ESM2-0",1953,10.1771113738005
"265","MRI-ESM2-0",1954,9.31529479422685
"266","MRI-ESM2-0",1955,9.04314231305321
"267","MRI-ESM2-0",1956,9.05531000966922
"268","MRI-ESM2-0",1957,10.2044594324704
"269","MRI-ESM2-0",1958,10.0001207560461
"270","MRI-ESM2-0",1959,7.79846216561825
"271","MRI-ESM2-0",1960,9.04695940061035
"272","MRI-ESM2-0",1961,9.34841465372926
"273","MRI-ESM2-0",1962,7.52019257354423
"274","MRI-ESM2-0",1963,7.89067796717397
"275","MRI-ESM2-0",1964,8.61523694003334
"276","MRI-ESM2-0",1965,7.89426046621205
"277","MRI-ESM2-0",1966,8.76568555993418
"278","MRI-ESM2-0",1967,9.06633976759473
"279","MRI-ESM2-0",1968,8.56297586244872
"280","MRI-ESM2-0",1969,9.08184336300285
"281","MRI-ESM2-0",1970,9.18410412828968
"282","MRI-ESM2-0",1971,9.18819497591798
"283","MRI-ESM2-0",1972,8.89971873981805
