ID,date,ppt_mm,tmean_C
1,1943-10-01,34.47541138214223,10.458093389543277
1,1943-11-01,4.617577275060782,2.3792605458585876
1,1943-12-01,2.0001990590029854,-1.3613683236034226
1,1944-01-01,39.84013824737104,-2.8122091430440497
1,1944-02-01,21.296230294541648,-4.119851732965931
1,1944-03-01,28.59665162991111,-2.061106816109729
1,1944-04-01,76.98267512154038,5.807785455647306
1,1944-05-01,95.97550997471735,16.234538502544204
1,1944-06-01,107.56017829530055,19.03314440534495
1,1944-07-01,96.46014266136696,21.88131400475621
1,1944-08-01,58.20850951479795,22.55603119995439
1,1944-09-01,15.191470283350512,16.823998310963425
1,1944-10-01,14.794148738719775,11.201685904929219
1,1944-11-01,38.52972852007154,2.2609061040633143
1,1944-12-01,8.200288358629782,-4.205387264119329
1,1945-01-01,12.530268733923918,-2.757865210214931
1,1945-02-01,14.703922864577983,-1.9843310288849847
1,1945-03-01,19.937831909774808,5.100897396800586
1,1945-04-01,53.569271237408195,6.418871472084234
1,1945-05-01,67.35803623742582,12.424750391079758
1,1945-06-01,120.63136299941183,15.676088385862766
1,1945-07-01,63.99134201406273,22.67921674452601
1,1945-08-01,78.57470973750195,22.163916457315693
1,1945-09-01,59.69121066898427,15.831852574094022
1,1945-10-01,5.004141829854378,11.36507408336147
1,1945-11-01,3.566955486081298,3.1416683810041293
1,1945-12-01,14.448334530502665,-6.114179719044797
1,1946-01-01,2.6789640601428184,-1.1870044786826033
1,1946-02-01,5.5159579789008495,0.5972377937632267
1,1946-03-01,54.65298777414939,6.5991811260585145
1,1946-04-01,19.965539378951032,12.39861463847857
1,1946-05-01,104.17850624318596,11.928598578212862
1,1946-06-01,58.83283766350247,20.101875704363767
1,1946-07-01,40.35152694854024,24.196471438672877
1,1946-08-01,51.0264257705769,21.452869156892046
1,1946-09-01,90.4941691840792,16.711716859684095
1,1946-10-01,100.95901574790604,8.57414002427745
1,1946-11-01,31.428598313757647,1.2971241952702584
1,1946-12-01,6.277397571320627,-0.7678897234487625
1,1947-01-01,14.530415265508095,-2.343209399384684
1,1947-02-01,4.374730162308117,-4.66876300896665
1,1947-03-01,9.302919272661931,-0.14380785827932008
1,1947-04-01,52.39638122788494,7.265098772557813
1,1947-05-01,65.01082999198056,12.747556598337443
1,1947-06-01,201.9809481004078,17.123759723217212
1,1947-07-01,36.307132746786685,22.78015979443066
1,1947-08-01,22.26936604049215,25.117855207017687
1,1947-09-01,40.52377523834099,17.979612132677044
1,1947-10-01,20.16287558296954,14.037400998692174
1,1947-11-01,42.72870003402589,-0.8583492243003835
1,1947-12-01,13.985820287098493,-2.1637451944345987
1,1948-01-01,5.114449816512117,-4.612482112054495
1,1948-02-01,13.442230029629439,-4.023268095327054
1,1948-03-01,15.952377377605794,-0.6708308299148621
1,1948-04-01,32.19313712683019,11.496322355779236
1,1948-05-01,43.13162677671034,14.82178947653333
1,1948-06-01,114.2723323261998,18.87220438323628
1,1948-07-01,76.27107321032842,23.12013186569995
1,1948-08-01,68.03441388692065,22.690347793321767
1,1948-09-01,40.46974286803716,19.140020796565146
1,1948-10-01,18.986178890789425,9.793513327037752
1,1948-11-01,25.088760025302918,1.1728761953601776
1,1948-12-01,23.87535942184163,-4.2230795494983315
1,1949-01-01,45.96852667621058,-12.228260741894289
1,1949-02-01,1.7551573140397334,-5.773836049316399
1,1949-03-01,72.72035720620562,1.3428562964763315
1,1949-04-01,39.24339148574417,9.397461601407084
1,1949-05-01,112.76780451784344,15.63762004368207
1,1949-06-01,86.26038290566422,19.95488870371301
1,1949-07-01,55.35824605737685,23.81207521916886
1,1949-08-01,59.37127127000111,22.614864776501648
1,1949-09-01,38.42413075167335,15.552113542248282
1,1949-10-01,51.95087751473421,9.408553938856446
1,1949-11-01,7.278402824196873,6.952269619526969
1,1949-12-01,10.195275093371219,-2.8196667068763404
1,1950-01-01,10.762461985479199,-8.733465161875909
1,1950-02-01,16.658358025429727,-1.2651078838065217
1,1950-03-01,29.017818894147858,-0.8065261638150073
1,1950-04-01,29.57914264985863,5.3585847119518135
